"Data","AuthorDate","Citation","Species","System","Taxa","VertInvt","Disturbance","OutIn","AnthroNat1","AntroNat2","Sample1","Sample2","Sex","GenPhen","AlloSyn","Trait","Years","GLength","Darwins","Haldanes","DarwinsAbs","HaldanesAbs","Generations","HaldaneNumAbs","DarwinNumAbs"
1,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","TAUP",1,2,2,"HUMERL",111,1,-49.0955384465271,,49.0955384465271,,111,,0.00544960476756451
2,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","PALM",1,2,2,"HUMERL",110,1,-99.3551866562752,,99.3551866562752,,110,,0.0109290705321903
3,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","HAST",1,2,2,"HUMERL",110,1,-99.3551866562752,,99.3551866562752,,110,,0.0109290705321903
4,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","CHCH",1,2,2,"HUMERL",111,1,-98.4600948845971,,98.4600948845971,,111,,0.0109290705321903
5,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","KAIK",1,2,2,"HUMERL",113,1,-96.7174383379671,,96.7174383379671,,113,,0.0109290705321903
6,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NELN",1,2,2,"HUMERL",112,1,-146.774342349641,,146.774342349641,,112,,0.0164387263431598
7,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","AUCK",1,2,2,"HUMERL",112,1,-196.240238560495,,196.240238560495,,112,,0.0219789067187754
8,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NEWP",1,2,2,"HUMERL",112,1,-196.240238560495,,196.240238560495,,112,,0.0219789067187754
9,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","WELL",1,2,2,"HUMERL",113,1,-243.804882904699,,243.804882904699,,113,,0.0275499517682309
10,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","DUND",1,2,2,"HUMERL",113,1,-243.804882904699,,243.804882904699,,113,,0.0275499517682309
11,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","INVE",1,2,2,"HUMERL",113,1,-243.804882904699,,243.804882904699,,113,,0.0275499517682309
12,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","OBAN",1,2,2,"HUMERL",110,1,-250.454106983918,,250.454106983918,,110,,0.0275499517682309
13,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","PALM",1,2,2,"HUMERL",110,1,-49.8133251329615,,49.8133251329615,,110,,0.00547946576462577
14,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","HAST",1,2,2,"HUMERL",110,1,-49.8133251329615,,49.8133251329615,,110,,0.00547946576462577
15,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","CHCH",1,2,2,"HUMERL",111,1,-49.36455643807,,49.36455643807,,111,,0.00547946576462577
16,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","KAIK",1,2,2,"HUMERL",113,1,-48.4908474745643,,48.4908474745643,,113,,0.00547946576462577
17,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","NELN",1,2,2,"HUMERL",112,1,-98.1171569249579,,98.1171569249579,,112,,0.0109891215755953
18,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","AUCK",1,2,2,"HUMERL",112,1,-147.583053135812,,147.583053135812,,112,,0.0165293019512109
19,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","NEWP",1,2,2,"HUMERL",112,1,-147.583053135812,,147.583053135812,,112,,0.0165293019512109
20,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","WELL",1,2,2,"HUMERL",113,1,-195.578292041296,,195.578292041296,,113,,0.0221003470006664
21,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","DUND",1,2,2,"HUMERL",113,1,-195.578292041296,,195.578292041296,,113,,0.0221003470006664
22,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","INVE",1,2,2,"HUMERL",113,1,-195.578292041296,,195.578292041296,,113,,0.0221003470006664
23,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","OBAN",1,2,2,"HUMERL",110,1,-200.912245460604,,200.912245460604,,110,,0.0221003470006664
24,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","HAST",1,2,2,"HUMERL",110,1,0,,0,,110,,0
25,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","CHCH",1,2,2,"HUMERL",111,1,0,,0,,111,,0
26,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","KAIK",1,2,2,"HUMERL",113,1,0,,0,,113,,0
27,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","NELN",1,2,2,"HUMERL",112,1,-49.193355455085,,49.193355455085,,112,,0.00550965581096952
28,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","AUCK",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
29,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","NEWP",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
30,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","WELL",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
31,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","DUND",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
32,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","INVE",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
33,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","OBAN",1,2,2,"HUMERL",110,1,-151.098920327642,,151.098920327642,,110,,0.0166208812360407
34,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","CHCH",1,2,2,"HUMERL",111,1,0,,0,,111,,0
35,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","KAIK",1,2,2,"HUMERL",113,1,0,,0,,113,,0
36,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","NELN",1,2,2,"HUMERL",112,1,-49.193355455085,,49.193355455085,,112,,0.00550965581096952
37,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","AUCK",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
38,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","NEWP",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
39,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","WELL",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
40,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","DUND",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
41,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","INVE",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
42,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","OBAN",1,2,2,"HUMERL",110,1,-151.098920327642,,151.098920327642,,110,,0.0166208812360407
43,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","KAIK",1,2,2,"HUMERL",113,1,0,,0,,113,,0
44,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","NELN",1,2,2,"HUMERL",112,1,-49.193355455085,,49.193355455085,,112,,0.00550965581096952
45,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","AUCK",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
46,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","NEWP",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
47,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","WELL",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
48,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","DUND",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
49,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","INVE",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
50,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","CHCH","OBAN",1,2,2,"HUMERL",110,1,-151.098920327642,,151.098920327642,,110,,0.0166208812360407
51,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","NELN",1,2,2,"HUMERL",112,1,-49.193355455085,,49.193355455085,,112,,0.00550965581096952
52,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","AUCK",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
53,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","NEWP",1,2,2,"HUMERL",112,1,-98.659251665939,,98.659251665939,,112,,0.0110498361865852
54,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","WELL",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
55,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","DUND",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
56,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","INVE",1,2,2,"HUMERL",113,1,-147.087444566732,,147.087444566732,,113,,0.0166208812360407
57,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","KAIK","OBAN",1,2,2,"HUMERL",110,1,-151.098920327642,,151.098920327642,,110,,0.0166208812360407
58,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","AUCK",1,2,2,"HUMERL",112,1,-49.4658962108541,,49.4658962108541,,112,,0.00554018037561566
59,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","NEWP",1,2,2,"HUMERL",112,1,-49.4658962108541,,49.4658962108541,,112,,0.00554018037561566
60,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","WELL",1,2,2,"HUMERL",113,1,-98.3294285404526,,98.3294285404526,,113,,0.0111112254250711
61,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","DUND",1,2,2,"HUMERL",113,1,-98.3294285404526,,98.3294285404526,,113,,0.0111112254250711
62,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","INVE",1,2,2,"HUMERL",113,1,-98.3294285404526,,98.3294285404526,,113,,0.0111112254250711
63,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NELN","OBAN",1,2,2,"HUMERL",110,1,-101.01114022792,,101.01114022792,,110,,0.0111112254250711
64,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","AUCK","NEWP",1,2,2,"HUMERL",112,1,0,,0,,112,,0
65,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","AUCK","WELL",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
66,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","AUCK","DUND",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
67,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","AUCK","INVE",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
68,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","AUCK","OBAN",1,2,2,"HUMERL",110,1,-50.645864085959,,50.645864085959,,110,,0.00557104504945549
69,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NEWP","WELL",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
70,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NEWP","DUND",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
71,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NEWP","INVE",1,2,2,"HUMERL",113,1,-49.3012836234999,,49.3012836234999,,113,,0.00557104504945549
72,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","NEWP","OBAN",1,2,2,"HUMERL",110,1,-50.645864085959,,50.645864085959,,110,,0.00557104504945549
73,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","WELL","DUND",1,2,2,"HUMERL",113,1,0,,0,,113,,0
74,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","WELL","INVE",1,2,2,"HUMERL",113,1,0,,0,,113,,0
75,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","WELL","OBAN",1,2,2,"HUMERL",110,1,0,,0,,110,,0
76,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","DUND","INVE",1,2,2,"HUMERL",113,1,0,,0,,113,,0
77,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","DUND","OBAN",1,2,2,"HUMERL",110,1,0,,0,,110,,0
78,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","INVE","OBAN",1,2,2,"HUMERL",110,1,0,,0,,110,,0
79,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","TAUP",1,2,2,"TIBIO",111,1,31.8903306767916,,31.8903306767916,,111,,0.00353982670512387
80,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","PALM",1,2,2,"TIBIO",110,1,-284.608223864037,,284.608223864037,,110,,0.031306904625044
81,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","HAST",1,2,2,"TIBIO",110,1,-655.203164010217,,655.203164010217,,110,,0.0720723480411238
82,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","CHCH",1,2,2,"TIBIO",111,1,-974.897158921016,,974.897158921016,,111,,0.108213584640233
83,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","KAIK",1,2,2,"TIBIO",113,1,-1142.51900797496,,1142.51900797496,,113,,0.129104647901171
84,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NELN",1,2,2,"TIBIO",112,1,-1520.94076560035,,1520.94076560035,,112,,0.170345365747239
85,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","AUCK",1,2,2,"TIBIO",112,1,-1882.08241852917,,1882.08241852917,,112,,0.210793230875267
86,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","NEWP",1,2,2,"TIBIO",112,1,-2075.17315872082,,2075.17315872082,,112,,0.232419393776731
87,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","WELL",1,2,2,"TIBIO",113,1,-2273.04963412851,,2273.04963412851,,113,,0.256854608656522
88,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","DUND",1,2,2,"TIBIO",113,1,-2577.63487241159,,2577.63487241159,,113,,0.29127274058251
89,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","INVE",1,2,2,"TIBIO",113,1,-2780.60908659477,,2780.60908659477,,113,,0.314208826785209
90,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAMN","OBAN",1,2,2,"TIBIO",110,1,-3124.0066009075,,3124.0066009075,,110,,0.343640726099825
91,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","PALM",2,2,2,"HUMERL",110,1,0,,0,,110,,0
92,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","HAST",1,2,2,"TIBIO",110,1,-380.163088030198,,380.163088030198,,110,,0.0418179396833218
93,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","CHCH",1,2,2,"TIBIO",111,1,-711.200021082158,,711.200021082158,,111,,0.0789432023401195
94,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","KAIK",1,2,2,"TIBIO",113,1,-891.648609707218,,891.648609707218,,113,,0.100756292896916
95,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","NELN",1,2,2,"TIBIO",112,1,-1275.56000047685,,1275.56000047685,,112,,0.142862720053407
96,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","AUCK",1,2,2,"TIBIO",112,1,-1643.9730695813,,1643.9730695813,,112,,0.184124983793105
97,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","NEWP",1,2,2,"TIBIO",112,1,-1843.91665486227,,1843.91665486227,,112,,0.206518665344574
98,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","WELL",1,2,2,"TIBIO",113,1,-2050.25180322166,,2050.25180322166,,113,,0.231678453764047
99,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","DUND",1,2,2,"TIBIO",113,1,-2360.90018207269,,2360.90018207269,,113,,0.266781720574214
100,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","INVE",1,2,2,"TIBIO",113,1,-2569.61626391548,,2569.61626391548,,113,,0.29036663782245
101,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","TAUP","OBAN",1,2,2,"TIBIO",110,1,-2912.85341354553,,2912.85341354553,,110,,0.320413875490009
102,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","HAST",1,2,2,"TIBIO",110,1,-64.4748028135623,,64.4748028135623,,110,,0.00709222830949186
103,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","CHCH",1,2,2,"TIBIO",111,1,-408.855908538901,,408.855908538901,,111,,0.045383005847818
104,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","KAIK",1,2,2,"TIBIO",113,1,-604.300069611784,,604.300069611784,,113,,0.0682859078661315
105,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","NELN",1,2,2,"TIBIO",112,1,-994.764172954497,,994.764172954497,,112,,0.111413587370904
106,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","AUCK",1,2,2,"TIBIO",112,1,-1371.73943781534,,1371.73943781534,,112,,0.153634817035318
107,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","NEWP",1,2,2,"TIBIO",112,1,-1579.73846570605,,1579.73846570605,,112,,0.176930708159078
108,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","WELL",1,2,2,"TIBIO",113,1,-1795.93667253708,,1795.93667253708,,113,,0.20294084399669
109,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","DUND",1,2,2,"TIBIO",113,1,-2113.68976320938,,2113.68976320938,,113,,0.23884694324266
110,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","INVE",1,2,2,"TIBIO",113,1,-2329.12435790695,,2329.12435790695,,113,,0.263191052443485
111,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","PALM","OBAN",1,2,2,"TIBIO",110,1,-2672.33914502889,,2672.33914502889,,110,,0.293957305953178
112,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","CHCH",1,2,2,"TIBIO",111,1,-32.117713193659,,32.117713193659,,111,,0.00356506616449614
113,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","KAIK",1,2,2,"TIBIO",113,1,-246.693535648275,,246.693535648275,,113,,0.0278763695282551
114,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","NELN",1,2,2,"TIBIO",112,1,-645.720192675233,,645.720192675233,,112,,0.0723206615796261
115,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","AUCK",1,2,2,"TIBIO",112,1,-1033.7089820705,,1033.7089820705,,112,,0.115775405991896
116,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","NEWP",1,2,2,"TIBIO",112,1,-1252.04769025581,,1252.04769025581,,112,,0.14022934130865
117,"Baker 1980","Evolution 34: 638-653","Passer domesticus","Passer domesticus expansion after introduced to New Zealand",4,1,6,"1","2","1","HAST","WELL",1,2,2,"TIBIO",113,1,-1480.78559475941,,1480.78559475941,,113,,0.167328772207814
